"","phone_id","user_id","dw_kind","platform","os"
"1","100032",116698,"courier","web","windows"
"958","10005",103240,"courier","web","android"
"1683","100109",612653,"courier","app","ios"
"1699","100112",1925853,"courier","app","android"
"2224","100121",1338933,"express_delivery","app","ios"
"2592","100150",2031642,"courier","web","windows"
"2802","100223",1618094,"courier","app","android"
"2882","10025",1344815,"courier","app","ios"
"6420","100260",2031777,"courier","app","android"
"6483","100279",567483,"courier","app","ios"
"6723","100374",2232133,"courier","web","windows"
"6732","100374",2031882,"courier","web","windows"
"6762","100415",1663977,"courier","app","android"
"7686","100511",1581740,"courier","app","android"
"7749","100614",249239,"courier","app","ios"
"8053","100676",2699263,"courier","app","android"
"8057","100692",966864,"courier","app","ios"
"8431","100712",1657640,"courier","web","windows"
"8753","100731",2032223,"courier","web","mac"
"8825","100849",1128065,"courier","app","android"
"9097","101025",230380,"courier","web","windows"
"9187","101078",1538317,"courier","web","ios"
"9222","101153",978822,"courier","web","windows"
"9303","101203",1745522,"courier","web","windows"
"9483","101377",1879706,"courier","app","android"
"9604","101388",1220639,"courier","web","mac"
"10332","101408",104249,"courier","app","ios"
"10528","101414",1776122,"courier","app","android"
"11100","101420",2033855,"courier","app","ios"
"11180","101470",2033630,"courier","app","android"
"11195","101576",1358838,"courier","web","mac"
"11204","101591",789803,"courier","web","windows"
"11220","101592",1843235,"courier","web","linux"
"12630","1016",1026805,"courier","app","ios"
"12774","101603",169337,"courier","app","android"
"12837","101709",1312322,"courier","app","ios"
"12862","101791",1506089,"courier","web","android"
"13016","101870",1799518,"courier","app","android"
"13136","101948",766098,"courier","web","windows"
"13137","101974",1282307,"courier","app","ios"
"13479","101978",1960773,"courier","web","windows"
"13647","101998",1768948,"courier","web","windows"
"13703","102008",36516,"courier","web","windows"
"14486","102048",1343336,"courier","web","windows"
"14586","102088",1960454,"courier","app","android"
"14826","102121",1396154,"courier","web","windows"
"15190","102180",230170,"courier","web","windows"
"15343","102184",81776,"courier","app","ios"
"15407","102191",319772,"courier","web","mac"
"15455","102205",1070835,"courier","app","ios"
"15491","10225",1589214,"courier","web","linux"
"18459","102289",2285208,"courier","app","android"
"18499","102426",1076542,"courier","app","android"
"19247","102431",1769608,"courier","web","mac"
"19589","102446",357176,"courier","web","windows"
"19760","102472",1575696,"courier","app","android"
"19910","102560",1920310,"courier","web","mac"
"19945","102765",1820490,"courier","app","ios"
"20449","102773",1403883,"courier","web","windows"
"20592","102847",1909689,"pickup","web","windows"
"20622","10290",1430133,"courier","web","windows"
"21738","102931",1630609,"courier","web","windows"
"22023","102950",2034784,"courier","app","android"
"22047","102952",1557529,"courier","web","mac"
"22215","103193",1465543,"courier","app","android"
"22287","10331",1272879,"courier","web","windows"
"22397","103432",1191517,"courier","app","android"
"22425","103536",2034964,"courier","web","linux"
"22445","103590",2035002,"courier","app","ios"
"22965","103594",1331867,"courier","web","windows"
"23097","103620",2228729,"courier","web","windows"
"23098","10377",1705170,"courier","app","ios"
"23170","103782",1793978,"courier","web","windows"
"23233","103854",1834689,"courier","web","windows"
"23329","103919",1486688,"courier","app","android"
"23378","103941",1568019,"courier","web","windows"
"23495","10397",1207074,"courier","app","android"
"23815","103978",2035357,"courier","app","android"
"23840","104013",1988072,"courier","web","windows"
"23858","104016",1920771,"courier","web","windows"
"23867","10404",402845,"courier","app","android"
"25716","104056",2034878,"courier","app","ios"
"25968","104075",1763061,"courier","app","ios"
"25969","104078",876886,"courier","app","android"
"26089","104193",1906906,"courier","web","windows"
"26254","104264",1575822,"courier","app","android"
"26596","104271",1792154,"courier","app","android"
"26621","104282",1075343,"courier","app","android"
"26720","104306",1749705,"courier","app","android"
"26960","10431",342411,"courier","app","ios"
"27660","104370",1821219,"courier","app","android"
"28012","104404",2036576,"courier","web","windows"
"28210","104577",1710297,"courier","web","windows"
"28320","104607",1587685,"courier","web","mac"
"28780","104646",1634174,"courier","app","android"
"28962","104683",1754033,"courier","app","android"
"29424","104705",841598,"courier","app","android"
"30091","104720",1572544,"courier","web","windows"
"30469","104735",1814867,"courier","app","android"
"30612","104741",1932936,"courier","app","ios"
"30684","104742",787739,"courier","app","ios"
"30783","104752",1588032,"courier","web","mac"
"31089","104783",1850120,"courier","app","android"
"31090","104783",1741668,"courier","app","android"
"31091","104834",1243794,"courier","app","mac"
"31735","10493",465299,"courier","app","android"
"31835","104942",1924665,"courier","web","windows"
"31934","105054",1995119,"courier","web","windows"
"32286","105079",1274349,"courier","app","ios"
"32574","105369",1497206,"courier","app","ios"
"32695","10540",1460950,"courier","web","windows"
"33055","105455",312590,"courier","app","ios"
"33429","105461",2036821,"courier","app","android"
"33749","105506",1972965,"courier","web","windows"
"34901","105511",1597818,"courier","app","ios"
"35031","105512",2092459,"courier","app","android"
"35139","105515",1661086,"courier","web","android"
"35169","105617",1823681,"courier","web","windows"
"35763","105625",1407146,"courier","app","other"
"35971","10566",1460764,"courier","web","windows"
"36277","105700",2039409,"courier","app","android"
"36307","105764",2037134,"courier","app","android"
"36502","105806",1374498,"courier","web","windows"
"36712","105875",320293,"courier","app","ios"
"36727","105972",1199234,"courier","web","windows"
"37595","106042",1918800,"courier","web","windows"
"37599","106042",2241605,"courier","web","windows"
"37668","106077",1981688,"courier","web","mac"
"37740","106096",1759859,"courier","app","android"
"37782","106099",1956902,"courier","app","android"
"38034","106106",2108740,"courier","app","android"
"38132","10619",1271857,"courier","app","android"
"38417","106204",1780823,"courier","web","mac"
"38473","1063",430845,"courier","app","ios"
"38477","106480",1784121,"courier","web","linux"
"38512","106516",1930220,"courier","app","android"
"38737","106529",1096877,"courier","web","windows"
"39217","10665",1604507,"courier","app","android"
"39817","106744",2037969,"courier","web","windows"
"39993","106857",1410664,"courier","app","android"
"40012","106967",1546903,"courier","app","android"
"40849","107017",895684,"courier","web","windows"
"40966","107029",940338,"courier","web","windows"
"42638","107039",1521326,"courier","web","windows"
"43080","107111",1695161,"courier","app","android"
"43365","107143",1494623,"courier","web","windows"
"43497","107156",571726,"courier","app","android"
"43513","107177",1852048,"courier","app","android"
"43577","107229",682447,"courier","web","windows"
"44413","107247",892664,"courier","web","windows"
"45001","107266",2038316,"courier","app","android"
"45100","107316",1576851,"courier","app","android"
"46684","107342",164991,"courier","app","ios"
"46705","107343",857041,"courier","app","android"
"46750","10738",1670532,"courier","web","windows"
"46790","107411",864811,"courier","app","android"
"47000","107460",750660,"courier","app","android"
"47630","107548",1862224,"courier","web","windows"
"47784","107604",1138698,"courier","web","mac"
"47790","107622",2038625,"courier","app","ios"
"47815","107626",1130757,"courier","app","android"
"48151","107686",2038641,"courier","app","android"
"48827","107709",1851295,"courier","app","ios"
"48907","107821",1923579,"courier","app","ios"
"49061","107863",340420,"courier","app","android"
"49237","107933",1066380,"courier","app","android"
"49589","108048",1149175,"courier","web","ios"
"50949","10808",787960,"courier","app","ios"
"51516","108121",1150304,"courier","app","android"
"51788","108130",211065,"courier","web","windows"
