"","CE_id","user_id","mean_rate","satisfaction","avg_check","timediff_order"
"1","CE_1",116698,1.33,"Detractors",119.54,140
"958","CE_2",103240,4.2,"Promoters",163.82,225
"1683","CE_3",612653,4.2,"Promoters",170.15,101
"1699","CE_4",1925853,2.86,"Detractors",149.035,101
"2224","CE_5",1338933,4.69,"Promoters",121.52,126
"2592","CE_6",2031642,1.43,"Detractors",94.32,85
"2802","CE_7",1618094,1.88,"Detractors",104,124
"2882","CE_8",1344815,4.46,"Promoters",211.955,145
"6420","CE_9",2031777,4.29,"Promoters",84.59,81
"6483","CE_10",567483,3.47,"Passives",114.845,113
"6723","CE_11",2232133,3.33,"Passives",132.89,86
"6732","CE_12",2031882,3.33,"Passives",132.89,86
"6762","CE_13",1663977,5,"Promoters",82.625,112
"7686","CE_14",1581740,5,"Promoters",154.505,78
"7749","CE_15",249239,2.62,"Detractors",66.28,99
"8053","CE_16",2699263,2.5,"Detractors",146.535,199
"8057","CE_17",966864,3.23,"Passives",112.735,105
"8431","CE_18",1657640,0.87,"Detractors",110.92,105
"8753","CE_19",2032223,0,"NotDefined",120.045,87
"8825","CE_20",1128065,1.54,"Detractors",122.335,163
"9097","CE_21",230380,5,"Promoters",106.23,89
"9187","CE_22",1538317,1.43,"Detractors",96.53,111
"9222","CE_23",978822,1.11,"Detractors",387.005,108
"9303","CE_24",1745522,0.22,"Detractors",132.945,96
"9483","CE_25",1879706,1.82,"Detractors",159.54,104
"9604","CE_26",1220639,4.11,"Promoters",124.99,136
"10332","CE_27",104249,3.86,"Passives",103.645,144
"10528","CE_28",1776122,4.09,"Promoters",145.015,112
"11100","CE_29",2033855,3.12,"Passives",157.62,86
"11180","CE_30",2033630,0,"NotDefined",129.985,88
"11195","CE_31",1358838,3.33,"Passives",168.25,139
"11204","CE_32",789803,3.67,"Passives",111.62,218
"11220","CE_33",1843235,2.5,"Detractors",94.405,108
"12630","CE_34",1026805,5,"Promoters",120.555,163
"12774","CE_35",169337,3.57,"Passives",86.375,88
"12837","CE_36",1312322,0,"NotDefined",112.46,153
"12862","CE_37",1506089,1.82,"Detractors",84.895,116
"13016","CE_38",1799518,2,"Detractors",211.95,96
"13136","CE_39",766098,5,"Promoters",133.735,212
"13137","CE_40",1282307,0.83,"Detractors",194.915,137
"13479","CE_41",1960773,3.33,"Passives",101.89,97
"13647","CE_42",1768948,2.14,"Detractors",93.325,87
"13703","CE_43",36516,4.26,"Promoters",113.92,121
"14486","CE_44",1343336,1.5,"Detractors",209.76,144
"14586","CE_45",1960454,4.53,"Promoters",80.1,87
"14826","CE_46",1396154,2.5,"Detractors",101.79,86
"15190","CE_47",230170,2.8,"Detractors",116.835,107
"15343","CE_48",81776,3.75,"Passives",89.965,106
"15407","CE_49",319772,0.83,"Detractors",122.045,153
"15455","CE_50",1070835,1.67,"Detractors",80.57,138
"15491","CE_51",1589214,3.34,"Passives",112.29,130
"18459","CE_52",2285208,4.29,"Promoters",91.13,83
"18499","CE_53",1076542,3.19,"Passives",114.92,170
"19247","CE_54",1769608,1.78,"Detractors",138.99,87
"19589","CE_55",357176,0.11,"Detractors",624.295,84
"19760","CE_56",1575696,1.82,"Detractors",125.985,131
"19910","CE_57",1920310,0,"NotDefined",151.445,81
"19945","CE_58",1820490,3.12,"Passives",111.825,101
"20449","CE_59",1403883,4.09,"Promoters",149.865,111
"20592","CE_60",1909689,1,"Detractors",121.515,92
"20622","CE_61",1430133,2.03,"Detractors",123.53,143
"21738","CE_62",1630609,0.67,"Detractors",101.305,122
"22023","CE_63",2034784,2.5,"Detractors",152.33,85
"22047","CE_64",1557529,2.33,"Detractors",171.655,133
"22215","CE_65",1465543,2.22,"Detractors",107.9,149
"22287","CE_66",1272879,3,NA,112.8,138
"22397","CE_67",1191517,5,"Promoters",249.77,78
"22425","CE_68",2034964,1,"Detractors",147.665,68
"22445","CE_69",2035002,3.55,"Passives",137.94,87
"22965","CE_70",1331867,5,"Promoters",192.425,99
"23097","CE_71",2228729,0.95,"Detractors",153.145,131
"23098","CE_72",1705170,3,NA,206.685,106
"23170","CE_73",1793978,3.57,"Passives",102.18,99
