"","user_id","gender","age_group","city"
"1",116698,"Мужчина","55-64","Москва"
"958",103240,"Женщина","25-34","Волгоград"
"1683",612653,"Женщина","15-24","Краснодар"
"1699",1925853,"Мужчина","25-34","Санкт-Петербург"
"2224",1338933,"Женщина","25-34","Москва"
"2592",2031642,"Мужчина","45-54","Москва"
"2802",1618094,"Мужчина","25-34","Ростов-на-Дону"
"2882",1344815,"Женщина","35-44","Самара"
"6420",2031777,"Мужчина","35-44","Санкт-Петербург"
"6483",567483,"Мужчина","15-24","Санкт-Петербург"
"6723",2232133,"Женщина","45-54","Челябинск"
"6732",2031882,"Женщина","25-34","Челябинск"
"6762",1663977,"Женщина","15-24","Тюмень"
"7686",1581740,"Женщина","25-34","Московская Область"
"7749",249239,"Мужчина","25-34","Ярославль"
"8053",2699263,"Женщина","25-34","Екатеринбург"
"8057",966864,"Женщина","45-54","Москва"
"8431",1657640,"Женщина","25-34","Красноярск"
"8753",2032223,"Мужчина","25-34","Нижний Новгород"
"8825",1128065,"Мужчина","15-24","Москва"
"9097",230380,"Женщина","25-34","Уфа"
"9187",1538317,"Женщина","25-34","Саратов"
"9222",978822,"Мужчина","25-34","Воронеж"
"9303",1745522,"Мужчина","15-24","Екатеринбург"
"9483",1879706,"Мужчина","25-34","Санкт-Петербург"
"9604",1220639,"Женщина","45-54","Самара"
"10332",104249,"Женщина","25-34","Казань"
"10528",1776122,"Женщина","35-44","Москва"
"11100",2033855,"Женщина","25-34","Новосибирск"
"11180",2033630,"Женщина","45-54","Екатеринбург"
"11195",1358838,"Женщина","25-34","Новосибирск"
"11204",789803,"Женщина","25-34","Уфа"
"11220",1843235,"Мужчина","15-24","Астрахань"
"12630",1026805,"Женщина","25-34","Иркутск"
"12774",169337,"Мужчина","25-34","Чебоксары"
"12837",1312322,"Мужчина","25-34","Калининград"
"12862",1506089,"Женщина",NA,"Москва"
"13016",1799518,"Мужчина","25-34","Ростов-на-Дону"
"13136",766098,"Женщина","35-44","Омск"
"13137",1282307,"Женщина","25-34","Волгоград"
"13479",1960773,"Женщина","35-44","Москва"
"13647",1768948,"Женщина","25-34","Санкт-Петербург"
"13703",36516,"Женщина","35-44","Курск"
"14486",1343336,"Мужчина","25-34","Москва"
"14586",1960454,"Женщина","25-34","Нижний Новгород"
"14826",1396154,"Мужчина","25-34","Екатеринбург"
"15190",230170,"Мужчина","25-34","Екатеринбург"
"15343",81776,"Мужчина","25-34","Москва"
"15407",319772,"Мужчина","25-34","Красноярск"
"15455",1070835,"Женщина","25-34","Рязань"
"15491",1589214,"Мужчина","25-34","Иваново"
"18459",2285208,"Женщина","25-34","Саранск"
"18499",1076542,"Женщина","25-34","Уфа"
"19247",1769608,"Женщина","35-44","Ульяновск"
"19589",357176,"Женщина","35-44","Москва"
"19760",1575696,"Женщина","35-44","Курск"
"19910",1920310,"Женщина","65-74","Москва"
"19945",1820490,"Женщина","55-64","Москва"
"20449",1403883,"Женщина","25-34","Москва"
"20592",1909689,"Женщина","35-44","Самара"
"20622",1430133,"Мужчина","45-54","Оренбург"
"21738",1630609,"Женщина","75 и старше","Ростов-на-Дону"
"22023",2034784,"Мужчина","25-34","Санкт-Петербург"
"22047",1557529,"Женщина","35-44","Московская Область"
"22215",1465543,"Мужчина","25-34","Екатеринбург"
"22287",1272879,"Мужчина","25-34","Калининград"
"22397",1191517,"Мужчина","45-54","Волгоград"
"22425",2034964,"Мужчина","35-44","Новосибирск"
"22445",2035002,"Мужчина","35-44","Уфа"
"22965",1331867,"Мужчина","35-44","Оренбург"
"23097",2228729,"Женщина",NA,"Новосибирск"
"23098",1705170,"Женщина","35-44","Ставрополь"
"23170",1793978,"Мужчина","35-44","Екатеринбург"
"23233",1834689,"Мужчина","25-34","Саратов"
"23329",1486688,"Женщина","25-34","Екатеринбург"
"23378",1568019,"Женщина","45-54","Омск"
"23495",1207074,"Женщина","35-44","Московская Область"
"23815",2035357,"Мужчина","25-34","Москва"
"23840",1988072,"Женщина","25-34","Омск"
"23858",1920771,"Мужчина","15-24","Омск"
"23867",402845,"Мужчина",NA,"Ростов-на-Дону"
"25716",2034878,"Женщина","25-34","Москва"
"25968",1763061,"Мужчина","55-64","Тамбов"
"25969",876886,"Женщина","25-34","Омск"
"26089",1906906,"Женщина","25-34","Санкт-Петербург"
"26254",1575822,"Мужчина","25-34","Тюмень"
"26596",1792154,"Женщина","15-24","Москва"
"26621",1075343,"Мужчина","25-34","Екатеринбург"
"26720",1749705,"Женщина","35-44","Краснодар"
"26960",342411,"Мужчина","25-34","Ростов-на-Дону"
"27660",1821219,"Женщина","35-44","Омск"
"28012",2036576,"Женщина","45-54","Саратов"
"28210",1710297,"Женщина","25-34","Казань"
"28320",1587685,"Мужчина","25-34","Екатеринбург"
"28780",1634174,"Мужчина","25-34","Калуга"
"28962",1754033,"Женщина","45-54","Калининград"
"29424",841598,"Женщина","25-34","Екатеринбург"
"30091",1572544,"Женщина","45-54","Московская Область"
"30469",1814867,"Женщина","25-34","Иваново"
"30612",1932936,"Женщина","15-24","Краснодар"
"30684",787739,"Женщина","25-34","Красноярск"
"30783",1588032,"Женщина","25-34","Пермь"
"31089",1850120,"Мужчина","25-34","Ижевск"
"31090",1741668,"Женщина","25-34","Ижевск"
"31091",1243794,"Мужчина","35-44","Казань"
"31735",465299,"Мужчина","15-24","Казань"
"31835",1924665,"Женщина","45-54","Санкт-Петербург"
"31934",1995119,"Мужчина","25-34","Астрахань"
"32286",1274349,"Женщина","45-54","Москва"
"32574",1497206,"Женщина","25-34","Пермь"
"32695",1460950,"Мужчина","25-34","Майкоп"
"33055",312590,"Женщина","35-44","Краснодар"
"33429",2036821,"Женщина","35-44","Тюмень"
"33749",1972965,"Женщина","35-44","Новокузнецк"
"34901",1597818,"Женщина","35-44","Москва"
"35031",2092459,"Женщина","15-24","Москва"
"35139",1661086,"Женщина","25-34","Краснодар"
"35169",1823681,"Мужчина","25-34","Иваново"
"35763",1407146,"Мужчина","35-44","Ростов-на-Дону"
"35971",1460764,"Мужчина","25-34","Екатеринбург"
"36277",2039409,"Мужчина","35-44","Липецк"
"36307",2037134,"Мужчина","25-34","Москва"
"36502",1374498,"Мужчина","35-44","Санкт-Петербург"
"36712",320293,"Женщина","15-24","Ростов-на-Дону"
"36727",1199234,"Мужчина","45-54","Москва"
"37595",1918800,"Мужчина","35-44","Москва"
"37599",2241605,"Мужчина","35-44","Москва"
"37668",1981688,"Женщина","25-34","Москва"
"37740",1759859,"Мужчина","15-24","Екатеринбург"
"37782",1956902,"Женщина","35-44","Москва"
"38034",2108740,"Мужчина","15-24","Тверь"
"38132",1271857,"Женщина","35-44","Санкт-Петербург"
"38417",1780823,"Мужчина","25-34","Ярославль"
"38473",430845,"Женщина","25-34","Ярославль"
"38477",1784121,"Мужчина","15-24","Иркутск"
"38512",1930220,"Женщина","35-44","Краснодар"
"38737",1096877,"Женщина","35-44","Новосибирск"
"39217",1604507,"Женщина","25-34","Иркутск"
"39817",2037969,"Женщина","25-34","Новосибирск"
"39993",1410664,"Женщина","25-34","Иркутск"
"40012",1546903,"Женщина","55-64","Иваново"
"40849",895684,"Женщина","25-34","Иркутск"
"40966",940338,"Мужчина","25-34","Иркутск"
"42638",1521326,"Женщина","25-34","Калуга"
"43080",1695161,"Женщина","15-24","Новосибирск"
"43365",1494623,"Женщина","25-34","Барнаул"
"43497",571726,"Женщина","35-44","Ростов-на-Дону"
"43513",1852048,"Женщина","35-44","Екатеринбург"
"43577",682447,"Женщина","35-44","Самара"
"44413",892664,"Женщина","45-54","Самара"
"45001",2038316,"Женщина","35-44","Московская Область"
"45100",1576851,"Женщина","25-34","Тольятти"
"46684",164991,"Женщина","25-34","Москва"
"46705",857041,"Женщина","25-34","Иркутск"
"46750",1670532,"Мужчина","45-54","Москва"
"46790",864811,"Мужчина","25-34","Краснодар"
"47000",750660,"Женщина","25-34","Казань"
"47630",1862224,"Мужчина","15-24","Ярославль"
"47784",1138698,"Женщина","15-24","Москва"
"47790",2038625,"Женщина","25-34","Санкт-Петербург"
"47815",1130757,"Женщина","35-44","Омск"
"48151",2038641,"Мужчина","35-44","Калининград"
"48827",1851295,"Женщина","25-34","Челябинск"
"48907",1923579,"Женщина","55-64","Москва"
"49061",340420,"Мужчина","25-34","Красноярск"
"49237",1066380,"Женщина","25-34","Москва"
"49589",1149175,"Женщина","35-44","Москва"
"50949",787960,"Мужчина","35-44","Пермь"
"51516",1150304,"Мужчина","35-44","Новосибирск"
