"","dw_id","user_id","savings","spendings","num_orders"
"1","dw_1",116698,873.779996395111,35406.8498401642,30
"958","dw_2",103240,1116.50000286102,17800.3900222778,25
"1683","dw_3",612653,11427.5599358082,76671.2998809814,22
"1699","dw_4",1925853,4976.36997747421,25475.0501213074,21
"2224","dw_5",1338933,501.540004730225,32348.4400672913,16
"2592","dw_6",2031642,1357.01999354362,12715.7800540924,11
"2802","dw_7",1618094,761.939999580383,7631.37999534607,8
"2882","dw_8",1344815,2534.63001918793,49689.0500545502,52
"6420","dw_9",2031777,865.400000572205,2378.60999298096,7
"6483","dw_10",567483,1542.28999185562,12627.4799575806,15
"6723","dw_11",2232133,41.2900009155273,3385.28998184204,6
"6732","dw_12",2031882,41.2900009155273,3385.28998184204,6
"6762","dw_13",1663977,2114.78997850418,22708.2899951935,28
"7686","dw_14",1581740,5842.4300031662,22543.6800308228,7
"7749","dw_15",249239,1141.78000068665,5409.55001831055,16
"8053","dw_16",2699263,535.530007362366,8750.06002235413,18
"8057","dw_17",966864,1228.21998739243,16439.8900108337,17
"8431","dw_18",1657640,3449.14998912811,26905.8699207306,11
"8753","dw_19",2032223,1158.9199962616,12552.260017395,6
"8825","dw_20",1128065,1099.65999221802,24613.8500041962,26
"9097","dw_21",230380,2034.14997828007,9623.60999393463,6
"9187","dw_22",1538317,1890.89000844955,8290.71998214722,7
"9222","dw_23",978822,746.900001525879,8178.07002639771,9
"9303","dw_24",1745522,3395.03995990753,12892.490032196,9
"9483","dw_25",1879706,2075.89000415802,7870.759973526,11
"9604","dw_26",1220639,28435.0900592804,49931.1199922562,19
"10332","dw_27",104249,223.870001792908,9798.91000556946,14
"10528","dw_28",1776122,2439.0499920845,30574.0201187134,22
"11100","dw_29",2033855,2517.29001045227,22026.280002594,8
"11180","dw_30",2033630,1379.86997103691,5542.12003135681,4
"11195","dw_31",1358838,6042.70999991894,80235.2100615501,24
"11204","dw_32",789803,6429.60000729561,15023.9000415802,15
"11220","dw_33",1843235,2013.91999340057,24929.8601107597,30
"12630","dw_34",1026805,2495.03999137878,9777.48001670837,12
"12774","dw_35",169337,1692.0899887085,6405.33003807068,7
"12837","dw_36",1312322,875.790000915527,2385.6699962616,11
"12862","dw_37",1506089,2502.39999115467,8417.32001495361,11
"13016","dw_38",1799518,1026.59998893738,5674.70000267029,10
"13136","dw_39",766098,3126.20999407768,5176.37002563477,7
"13137","dw_40",1282307,2594.20999717712,26631.8300857544,15
"13479","dw_41",1960773,515.510004043579,18818.7499217987,12
"13647","dw_42",1768948,1983.75001335144,6445.34001541138,7
"13703","dw_43",36516,3275.76000547409,16398.8100233078,24
"14486","dw_44",1343336,551.920011520386,13023.3400859833,10
"14586","dw_45",1960454,4251.34998130798,16381.1400671005,15
"14826","dw_46",1396154,3721.35998058319,23504.2800269127,14
"15190","dw_47",230170,1332.59000778198,20081.4599804878,10
"15343","dw_48",81776,763.879993438721,6839.11998176575,8
"15407","dw_49",319772,1893.0200176239,4395.69000244141,6
"15455","dw_50",1070835,1890.86001110077,12891.1700205803,6
"15491","dw_51",1589214,5020.22997093201,24105.1700963974,50
"18459","dw_52",2285208,1418.49999237061,11077.2100811005,7
"18499","dw_53",1076542,1713.12997806072,11530.3699667454,22
"19247","dw_54",1769608,3214.30999088287,67144.0300550461,18
"19589","dw_55",357176,1208.74999374151,36192.399520874,9
"19760","dw_56",1575696,3125.19001293182,17999.3900051117,11
"19910","dw_57",1920310,652.369993448257,11499.93998909,5
"19945","dw_58",1820490,11680.4899318218,57448.8498764038,21
"20449","dw_59",1403883,158.079998016357,6785.3400478363,11
"20592","dw_60",1909689,2849.97995662689,8218.24996185303,5
"20622","dw_61",1430133,6127.77000045776,42783.5700306892,32
"21738","dw_62",1630609,3121.77999448776,12686.0100593567,15
"22023","dw_63",2034784,110.100002288818,1218.62001800537,4
"22047","dw_64",1557529,3035.79998588562,29084.1299819946,12
"22215","dw_65",1465543,1534.65998244286,8886.63997268677,9
"22287","dw_66",1272879,1592.84000015259,4060.90002250671,10
"22397","dw_67",1191517,605.200005531311,2675.80000305176,4
"22425","dw_68",2034964,2359.30000019073,8850.96001625061,4
"22445","dw_69",2035002,3528.92997467518,15622.2199764252,17
"22965","dw_70",1331867,1366.22999119759,19026.4400482178,11
"23097","dw_71",2228729,3217.96003341675,13095.2100353241,21
"23098","dw_72",1705170,5130.81000065804,21594.4100294113,8
"23170","dw_73",1793978,727.229991316795,7248.26001548767,7
"23233","dw_74",1834689,1776.16997909546,7513.73999500275,8
"23329","dw_75",1486688,1379.74998950958,13113.9100055695,9
"23378","dw_76",1568019,1313.54000854492,10356.5800304413,9
"23495","dw_77",1207074,1511.99000239372,22786.9500026703,16
"23815","dw_78",2035357,438.849996566772,7336.5200176239,5
"23840","dw_79",1988072,15520.3899084032,27424.2101527452,67
"23858","dw_80",1920771,376.009998321533,5700.15990066528,3
"23867","dw_81",402845,3472.75000536442,10289.0898666382,40
"25716","dw_82",2034878,1580.98000144958,24626.1099529266,15
"25968","dw_83",1763061,321.370002746582,10309.6999454498,13
"25969","dw_84",876886,4242.70999264717,12703.4799976349,10
"26089","dw_85",1906906,2094.36999893188,19912.950094223,11
"26254","dw_86",1575822,2466.20999860764,10203.3100070953,15
"26596","dw_87",1792154,1547.42998790741,10428.1399364471,8
"26621","dw_88",1075343,569.409998893738,10931.7500648499,9
"26720","dw_89",1749705,8113.07998716831,19352.6399784088,15
"26960","dw_90",342411,19340.5900310278,126574.059984207,22
"27660","dw_91",1821219,6895.38009691238,30441.2100644112,16
"28012","dw_92",2036576,6447.13001099229,83873.4596967697,6
"28210","dw_93",1710297,3887.05997467041,7359.21000957489,10
"28320","dw_94",1587685,811.26000213623,29975.5999526978,20
"28780","dw_95",1634174,3350.4399971962,12037.8400497437,13
"28962","dw_96",1754033,7390.29001045227,58460.509809494,18
"29424","dw_97",841598,2642.56001681089,26743.2900753021,20
"30091","dw_98",1572544,121.169998645782,11800.359998703,18
"30469","dw_99",1814867,6375.78996562958,13947.6600131989,11
"30612","dw_100",1932936,2099.92000246048,12421.6600170135,8
"30684","dw_101",787739,4740.4900841713,14848.3500242233,9
"30783","dw_102",1588032,2133.87997674942,14238.2400035858,15
"31089","dw_103",1850120,3758.19998884201,10543.3499832153,18
"31090","dw_104",1741668,3758.19998884201,10543.3499832153,18
"31091","dw_105",1243794,619.869998931885,15469.3999462128,23
"31735","dw_106",465299,951.489998817444,7329.88001060486,10
"31835","dw_107",1924665,6685.83999896049,15085.0000314713,9
"31934","dw_108",1995119,5329.68993926048,22326.6900875568,16
"32286","dw_109",1274349,11587.999925375,41681.180065155,15
"32574","dw_110",1497206,1921.16998577118,7941.74000549316,11
"32695","dw_111",1460950,1638.23997545242,20409.180015564,18
"33055","dw_112",312590,2424.41999077797,21621.4701063633,16
"33429","dw_113",2036821,5101.43004113063,21412.8899738789,16
"33749","dw_114",1972965,12216.899923563,106106.85989809,29
"34901","dw_115",1597818,5797.82003307343,44504.5699005127,10
"35031","dw_116",2092459,2838.25999698043,30228.8301057816,9
"35139","dw_117",1661086,2005.6299905777,4868.99996566772,5
"35169","dw_118",1823681,3126.35000276566,74955.4395561218,23
"35763","dw_119",1407146,1309.47999763489,10505.1700553894,13
"35971","dw_120",1460764,12496.949880302,98305.000164032,6
"36277","dw_121",2039409,1866.00999307632,16928.7599983215,5
"36307","dw_122",2037134,5604.16998815536,16219.3100471497,13
"36502","dw_123",1374498,7785.91992378235,16501.4399852753,14
"36712","dw_124",320293,2027.0399851799,19003.6499881744,10
"36727","dw_125",1199234,4381.63998031616,66825.3800325394,25
"37595","dw_126",1918800,640.370001554489,20225.4300289154,9
"37599","dw_127",2241605,640.370001554489,20225.4300289154,9
"37668","dw_128",1981688,1417.97998809814,9324.61001014709,8
"37740","dw_129",1759859,2354.12002372742,4638.43003845215,8
"37782","dw_130",1956902,5919.88002586365,46662.2199897766,14
"38034","dw_131",2108740,823.609998703003,6347.06002235413,7
"38132","dw_132",1271857,7381.03994989395,17304.5601329803,15
"38417","dw_133",1780823,872.589992523193,2785.4999961853,7
"38473","dw_134",430845,3654.37998175621,33700.1500930786,14
"38477","dw_135",1784121,1456.45999670029,5844.02993583679,4
"38512","dw_136",1930220,4396.95999956131,19659.5000200272,15
"38737","dw_137",1096877,3672.57000780106,18715.3901023865,20
"39217","dw_138",1604507,17177.7300399542,45370.1101255417,37
"39817","dw_139",2037969,4151.44000101089,25056.8700094223,11
"39993","dw_140",1410664,3925.81998348236,8311.54999923706,4
"40012","dw_141",1546903,2623.02997970581,17810.2399730682,27
"40849","dw_142",895684,2633.34998464584,13167.3299865723,10
"40966","dw_143",940338,11267.5499308109,39138.9901342392,38
"42638","dw_144",1521326,6905.70000743866,18074.7200336456,13
"43080","dw_145",1695161,4606.46997070312,33609.1100616455,13
"43365","dw_146",1494623,2771.09999084473,6066.90997314453,11
"43497","dw_147",571726,2903.04996681213,11156.7399806976,4
"43513","dw_148",1852048,8395.9199783802,21199.2400102615,19
"43577","dw_149",682447,5464.48002529144,27795.1100406647,19
"44413","dw_150",892664,1944.47998857498,14967.930021286,21
"45001","dw_151",2038316,840.389998435974,9469.26002025604,8
"45100","dw_152",1576851,6821.49996006489,22635.4400405884,36
"46684","dw_153",164991,2413.59999513626,6995.88003253937,7
"46705","dw_154",857041,1063.00999259949,5733.00001335144,5
"46750","dw_155",1670532,1525.21001434326,5222.41007041931,5
"46790","dw_156",864811,881.47000348568,7565.9100227356,14
"47000","dw_157",750660,4736.30998015404,17239.5300130844,21
"47630","dw_158",1862224,4294.03000211716,16767.6000804901,8
"47784","dw_159",1138698,606.230011224747,5673.41000938416,5
"47790","dw_160",2038625,1336.49001502991,5758.93002128601,5
"47815","dw_161",1130757,501.980002880096,4785.82999992371,8
"48151","dw_162",2038641,3927.7099905014,82101.4397950172,22
"48827","dw_163",1851295,1356.81000840664,9573.72003746033,8
"48907","dw_164",1923579,33.1800003051758,10703.8899688721,11
"49061","dw_165",340420,3004.75999259949,7187.96000289917,11
"49237","dw_166",1066380,1767.74998474121,42756.589963913,16
"49589","dw_167",1149175,6712.34000968933,101101.980126381,34
"50949","dw_168",787960,9328.93999528885,19438.7000341415,21
"51516","dw_169",1150304,1459.37999916077,15268.8700237274,16
"51788","dw_170",211065,575.420007705688,5202.65001106262,4
"51828","dw_171",1591187,10,9624.02002906799,8
"51938","dw_172",1643500,9148.82995116711,20095.0300636292,9
"52064","dw_173",2236486,835.499992370605,4308.9199962616,3
"52073","dw_174",1986860,2944.68999767303,7941.80994510651,6
"52121","dw_175",712012,8176.90999507904,30576.1500959396,29
